,treatment ,lv,root,G1,G2,G3,H1,H2,H3,L1,L2,L3,WSA,pH,WHC,MWD,respiration
1,CT,0,8.17,0.4809,0.7681,0.5187,0.0648,1.411,0.0338,0,0.3789,2.6147,23.22610436,6.35,31.3,0.669,1031.155
2,CT,0,6.08,1.4882,1.8917,0.1342,0.0915,0.2769,0.175,0.0023,0.3336,1.7813,27.32572164,6.79,27.6,0.664,2573.083
3,CT,0,6.93,0.6219,1.8167,0.5355,0.2735,0.6355,0.207,0.0867,0.4405,2.4996,33.50373575,6.99,29.7,0.709,747.3937
4,CT,0,3.88,1.5884,1.6651,0.223,0.157,0.2484,0.2329,0.0876,0.3765,2.9016,25.22581436,7.05,27.1,0.671,3145.258
5,CT,0,12.85,2.0563,1.9476,1.7267,0.2829,0.277,0,0.4319,0.5766,3.8749,26.91631799,7.07,29.9,0.68,-50.5224
6,CT,0,7.03,0.9679,0.43,1.0784,0.1158,0.4189,0.2546,0.0002,0.2158,3.5547,58.53011807,7.14,29.5,0.617,2437.925
7,CT,0,6.99,0.1412,0.5809,0.7461,0.1338,1.0467,0.2148,0.0646,0.5525,2.0296,33.96853441,7.09,29.7,0.665,2422.878
8,CT,0,5.47,2.0669,1.0242,0,0.0642,0.7671,0.1661,0,0.0838,2.4606,27.27645611,7.11,28.5,0.713,1776.372
9,CT,0,9.45,0.6684,0.4946,0.9946,0.1417,0.3061,0.2587,0.1445,0.208,2.5661,47.53796812,7.19,31.3,0.655,2177.745
10,CT,0,7.03,0.0098,0.2728,1.4304,0.21,1.0619,0,0.1971,0.0887,3.0977,23.02818878,7.14,28.3,0.669,1810.329
11,A,1,8.38,1.712,0.8624,0.8519,0.1782,0.7851,0.0612,0,0.0313,3.1573,54.99421907,7.45,25,0.628,2478.229
12,A,1,6.63,0.8975,1.3749,0.7571,0.1408,0.3645,0.1962,0.1399,0.3161,1.4191,35.55805795,7.54,32,0.675,3130.422
13,A,1,7.85,1.7768,0.4662,1.577,0.0825,0.4891,0.0001,0,0,3.7162,33.74856511,7.46,29.8,0.639,1535.51
14,A,1,8.89,1.1783,3.9237,0.5018,0.0953,0,0,0,0.2309,0.873,28.92717998,7.46,27.1,0.66,1904.083
15,A,1,5.94,0.7307,1.5997,0.3718,0.2389,0,0.0075,0,0.1829,0.7356,35.59982676,7.12,27.3,0.699,2052.502
16,A,1,4.05,0.6535,1.5572,0.1932,0.3621,0.2349,0.0019,0,0.7114,0.1823,37.03053116,7.22,26.7,0.715,2899.508
17,Bi,1,5.02,0.1728,2.6142,1.675,0.0191,0.1159,0.0001,0,0.7195,0.3677,28.41530055,7.31,28.7,0.756,1552.105
18,Bi,1,3.82,1.3763,1.0003,1.0869,0.0534,0.0485,0,0,0.1749,0.0604,30.09282916,7.4,28.6,0.67,1309.75
19,Bi,1,5.7,0.9642,2.4932,1.3854,0.0108,0,0,0,0.5593,0.3514,50.74619263,7.46,29.6,0.699,1882.229
20,Bi,1,5,0.4304,0.1885,3.7961,0.1701,0.0927,0,0.0104,1.8951,1.9058,28.63634397,7.47,29,0.649,1134.915
21,Bi,1,4.92,1.4577,0.5579,1.1038,0.2098,0.185,0,0,0.3875,0.8247,32.58377811,7.48,25.5,0.652,1892.902
22,Bi,1,7.46,0.7209,4.1943,0.6457,0.1693,0.3176,0,0,0.3118,3.529,40.37829719,7.46,30.9,0.696,2158.834
23,Be,1,5.86,1.0461,2.2457,0.8156,0.1543,0.5398,0.0071,0,0.0919,2.4216,26.30612586,7.39,30,0.694,3060.595
24,Be,1,2.17,1.4264,0.1163,1.8724,0.2251,0.0207,0,0,1.1495,0.0261,48.70063133,7.43,33.6,0.773,2427.927
25,Be,1,6.79,0.194,0.6214,0.87,0.0776,0.5864,0.2732,0.051,0.2235,2.9198,36.88446756,7.4,29.3,0.706,779.4614
26,Be,1,5.33,3.4611,1.9244,0.2172,0.1591,0.3461,0,0,0.104,2.9342,34.04386235,7.31,27.4,0.706,1130.245
27,Be,1,7.08,0.7114,0.3508,0.6812,0.0943,0.4094,0.0777,0,1.1117,5.361,19.93099482,7.34,28.3,0.678,1090.91
28,Be,1,8.14,0.8689,0.8859,0.5172,0.1171,0.0758,0.0202,0,1.0511,2.6146,27.3141567,7.39,25.7,0.71,234.9515
29,A-Be,2,6.53,1.0809,0.9835,2.0977,0.0294,0.1232,0.0438,0,0.4622,0.3517,34.62659301,7.41,32.2,0.706,1758.663
30,A-Be,2,7.01,1.3339,0.569,0.6869,0.0491,0.0979,0.0056,0,0.4741,3.8305,31.34201345,7.27,28.4,0.67,1061.703
31,A-Be,2,5.01,0.7967,0,0.1801,0.1812,0.6913,0,0.0076,1.3271,1.837,33.33765672,7.08,29.4,0.699,1491.34
32,A-Bi,2,7,0.4936,0.9368,1.7627,0.1259,0.9414,0.0001,0,0.2164,2.4569,23.15319376,7.59,29.7,0.643,1281.958
33,A-Bi,2,6.78,0.7752,2.4614,0.9634,0.2417,1.2598,0.0754,0,0.4524,2.0233,26.68231612,7.19,28.9,0.69,971.0981
34,A-Bi,2,5.52,0.8771,0.666,0.6517,0.1783,0.9636,0.2914,0.0424,0.4495,2.6335,31.80103922,7.47,31.1,0.693,1684.355
35,P,1,5.69,1.4733,0.7154,1.6828,0.1486,0,0,0.0105,0.5058,2.9857,32.075942,7.46,28,0.646,1613.411
36,P,1,6.62,0.3629,0.0065,0.7811,0.2022,0.8075,0.3754,0.5215,1.2552,1.7983,31.49385914,7.53,29.2,0.756,1617.153
