A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
0,0,0,0,0,0,0,CT,0.772140023,8,8.17,6.2709,1.7677,1.5096,2.9936,23.22610436,6.35,31.3,0,CT,1,0
0,0,0,0,0,0,0,CT,0.732939273,9,6.08,6.1747,3.5141,0.5434,2.1172,27.32572164,6.79,27.6,0,CT,2,0
0,0,0,0,0,0,0,CT,0.816237,9,6.93,7.1169,2.9741,1.116,3.0268,33.50373575,6.99,29.7,0,CT,3,0
0,0,0,0,0,0,0,CT,0.746501807,9,3.88,7.4805,3.4765,0.6383,3.3657,25.22581436,7.05,27.1,0,CT,4,0
0,0,0,0,0,0,0,CT,0.834480794,8,12.85,11.1739,5.7306,0.5599,4.8834,26.91631799,7.07,29.9,0,CT,5,0
0,0,0,0,0,0,0,CT,0.70038843,9,7.03,7.0363,2.4763,0.7893,3.7707,58.53011807,7.14,29.5,0,CT,6,0
0,0,0,0,0,0,0,CT,0.812251868,9,6.99,5.5102,1.4682,1.3953,2.6467,33.96853441,7.09,29.7,0,CT,7,0
0,0,0,0,0,0,0,CT,0.751112908,7,5.47,6.6329,3.0911,0.9974,2.5444,27.27645611,7.11,28.5,0,CT,8,0
0,0,0,0,0,0,0,CT,0.78291867,9,9.45,5.7827,2.1576,0.7065,2.9186,47.53796812,7.19,31.3,0,CT,9,0
0,0,0,0,0,0,0,CT,0.677677989,8,7.03,6.3684,1.713,1.2719,3.3835,23.02818878,7.14,28.3,0,CT,10,0
1,0,0,0,0,0,0,A,0.756894393,8,8.38,7.6394,3.4263,1.0245,3.1886,54.99421907,7.45,25,1,A,11,0
1,0,0,0,0,0,0,A,0.863787165,9,6.63,5.6061,3.0295,0.7015,1.8751,35.55805795,7.54,32,1,A,12,0
1,0,0,0,0,0,0,A,0.713870203,7,7.85,8.1079,3.82,0.5717,3.7162,33.74856511,7.46,29.8,1,A,13,0
1,0,0,0,0,0,0,A,0.69845637,6,8.89,6.803,5.6038,0.0953,1.1039,28.92717998,7.46,27.1,1,A,14,0
1,0,0,0,0,0,0,A,0.796162943,7,5.94,3.8671,2.7022,0.2464,0.9185,35.59982676,7.12,27.3,1,A,15,0
1,0,0,0,0,0,0,A,0.799510201,8,4.05,3.8965,2.4039,0.5989,0.8937,37.03053116,7.22,26.7,1,A,16,0
0,0,1,0,0,0,0,Bi,0.654468332,8,5.02,5.6843,4.462,0.1351,1.0872,28.41530055,7.31,28.7,1,Bi,17,0
0,0,1,0,0,0,0,Bi,0.7195797,7,3.82,3.8007,3.4635,0.1019,0.2353,30.09282916,7.4,28.6,1,Bi,18,0
0,0,1,0,0,0,0,Bi,0.788561618,6,5.7,5.7643,4.8428,0.0108,0.9107,50.74619263,7.46,29.6,1,Bi,19,0
0,0,1,0,0,0,0,Bi,0.674040806,8,5,8.4891,4.415,0.2628,3.8113,28.63634397,7.47,29,1,Bi,20,0
0,0,1,0,0,0,0,Bi,0.888775215,7,4.92,4.7264,3.1194,0.3948,1.2122,32.58377811,7.48,25.5,1,Bi,21,0
0,0,1,0,0,0,0,Bi,0.714137254,7,7.46,9.8886,5.5609,0.4869,3.8408,40.37829719,7.46,30.9,1,Bi,22,0
0,1,0,0,0,0,0,Be,0.762766126,8,5.86,7.3221,4.1074,0.7012,2.5135,26.30612586,7.39,30,1,Be,23,0
0,1,0,0,0,0,0,Be,0.695265303,7,2.17,4.8365,3.4151,0.2458,1.1756,48.70063133,7.43,33.6,1,Be,24,0
0,1,0,0,0,0,0,Be,0.719898049,9,6.79,5.8169,1.6854,0.9372,3.1943,36.88446756,7.4,29.3,1,Be,25,0
0,1,0,0,0,0,0,Be,0.716649918,7,5.33,9.1461,5.6027,0.5052,3.0382,34.04386235,7.31,27.4,1,Be,26,0
0,1,0,0,0,0,0,Be,0.637823618,8,7.08,8.7975,1.7434,0.5814,6.4727,19.93099482,7.34,28.3,1,Be,27,0
0,1,0,0,0,0,0,Be,0.758709716,8,8.14,6.1508,2.272,0.2131,3.6657,27.3141567,7.39,25.7,1,Be,28,0
0,0,0,1,0,0,0,P,0.777555653,7,5.69,7.5221,3.8715,0.1486,3.502,32.075942,7.46,28,1,P,35,0
0,0,0,1,0,0,0,P,0.857750344,9,6.62,6.1106,1.1505,1.3851,3.575,31.49385914,7.53,29.2,1,P,36,0
0,0,0,1,0,0,0,P,0.626366117,8,6.08,8.6546,3.2813,0.1333,5.24,31.03151603,7.59,28.9,1,P,37,0
0,0,0,1,0,0,0,P,0.795523085,8,5.3,6.2232,2.2803,0.9713,2.9716,38.20800443,7.64,30,1,P,38,0
